asset_path	bytes_sent	number_of_requests	number_of_downloads	number_of_views
sub-P1/sub-P1_ses-2015-08-17_ecephys.nwb	802293730	60107	321	349
sub-N1/sub-N1_ses-2019-02-12_ecephys.nwb	3049585078	1367	313	176
sub-N1/sub-N1_ses-2019-12-20_ecephys.nwb	2441181163	1232	305	164
sub-P1/sub-P1_ses-2016-05-20_ecephys.nwb	518534544	767	268	155
sub-P1/sub-P1_ses-2016-05-11_ecephys.nwb	494199830	761	267	156
sub-P1/sub-P1_ses-2016-05-16_ecephys.nwb	520216541	901	260	157
sub-P1/sub-P1_ses-2015-08-12_ecephys.nwb	588290214	1022	263	166
sub-P1/sub-P1_ses-2015-08-21_ecephys.nwb	462651305	736	257	152
sub-P1/sub-P1_ses-2015-08-14_ecephys.nwb	551387929	904	260	165
sub-P1/sub-P1_ses-2016-05-23_ecephys.nwb	479832952	807	271	167
sub-P1/sub-P1_ses-2016-04-27_ecephys.nwb	541238953	812	273	168
sub-P1/sub-P1_ses-2016-05-04_ecephys.nwb	488516204	759	273	153
