week_start	sub-1295011705/sub-1295011705_ses-1296715466_icephys.nwb	sub-1295011705/sub-1295011705_ses-1296727703_icephys.nwb	sub-1295011705/sub-1295011705_ses-1296874712_icephys.nwb	sub-1295011705/sub-1295011705_ses-1296877011_icephys.nwb	sub-1295011705/sub-1295011705_ses-1296900023_icephys.nwb	sub-1295011705/sub-1295011705_ses-1296931992_icephys.nwb	sub-1295011705/sub-1295011705_ses-1297083509_icephys.nwb	sub-1295011705/sub-1295011705_ses-1297106824_icephys.nwb	sub-1295011705/sub-1295011705_ses-1297146806_icephys.nwb	sub-1295011705/sub-1295011705_ses-1297154502_icephys.nwb	sub-1295011705/sub-1295011705_ses-1297160609_icephys.nwb	sub-1295011705/sub-1295011705_ses-1297162982_icephys.nwb	sub-1295011705/sub-1295011705_ses-1297174496_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298034217_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298063931_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298065117_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298081966_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298087442_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298257785_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298320190_icephys.nwb	sub-1295011705/sub-1295011705_ses-1298530094_icephys.nwb	sub-1303030608/sub-1303030608_ses-1303058096_icephys.nwb	sub-1303030608/sub-1303030608_ses-1303080158_icephys.nwb	sub-1306905154/sub-1306905154_ses-1306941150_icephys.nwb	sub-1307828346/sub-1307828346_ses-1309476217_icephys.nwb	sub-1307828346/sub-1307828346_ses-1309514920_icephys.nwb	sub-1307828346/sub-1307828346_ses-1309543028_icephys.nwb	sub-1307828346/sub-1307828346_ses-1310113951_icephys.nwb
2024-03-11	276146232	173217468	167792490	134744134	197773932	164780526	218051956	202265162	182032564	152086144	191254390	125394936	179312797	197917726	157636388	199840184	187383260	133657372	182094321	149929540	456674294	203703184	126556360	116319580	201073210	193982652	741789828	122196869
2024-03-18	108989833	415212228	91473745	108897258	149954876	77030437	70365988	134639646	171363088	76370458	99847317	88745112	117342933	135883485	126937685	89659564	193602728	149183552	91307330	166267204	87721792	179080764	92643592	104744971	232218497	117124828	50576468	88893755
2024-03-25	129039439	104036324	175259415	79079820	142095604	134455623	85832772	78593006	62875022	54061258	82225271	66197372	104257185	46797245	48275444	58757644	38870244	104983680	62880751	79721998	52984872	46769724	80529727	54319101	82872892	58643280	28613496	91720341
2024-04-01	161461524	97932792	98763986	100837000	182092048	72560046	70584788	100122946	96768474	58084306	823137713	50766048	88066287	85509502	127981726	88906120	72153232	140603252	79238006	104350166	41752832	95747352	49437821	70107134	119813650	77069804	41331680	95598547
2024-04-08	0	0	0	0	0	0	0	0	0	0	1105510399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-15	46931788	23851324	68065284	36044800	50380800	16312023	18293994	4454544	32665600	49671444	1804288847	5764704	67175411	4520052	26936676	6354276	40951312	75457724	49958665	6419784	0	6747324	0	43879751	25702425	76492800	3209892	0
2024-04-22	0	0	0	0	0	0	0	0	0	0	1334578926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-04-29	0	0	0	0	0	0	0	0	0	0	1013987812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-06	0	0	0	0	0	0	0	0	0	0	1353001715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-13	0	0	0	0	0	0	0	0	0	0	787313384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-20	0	0	0	0	0	0	0	0	0	0	607174225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-05-27	73303464	0	0	0	0	0	0	0	96051674	0	1158795569	0	0	45787121	0	68414660	0	92981776	52416265	0	0	80897676	0	42272767	66153225	0	35108420	0
2024-06-03	113246129	0	83359153	0	0	0	0	67930273	0	103329044	521095834	87775416	71885811	91574242	0	68414660	123070096	0	52416265	0	0	90461844	106736602	42272767	132306450	128065004	0	0
2024-06-10	0	0	0	0	0	0	0	0	0	0	48541428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2024-06-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19586892	0	0	0	0	0	0	0	0	20241972	18669780	0	0	0
2024-07-08	44807592	36304956	70710460	39842976	74577332	0	40305898	0	15597568	58087050	21793309	25406556	6288768	26476544	3013368	29941808	14286848	32030328	0	4782084	39727616	27221592	27074874	30670851	29451441	40107976	0	45839449
2024-07-22	10088232	12839568	0	10088232	11791440	11201868	10022724	0	20045448	10022724	10743312	0	143771622	10088232	6812832	0	10546788	0	0	0	0	0	0	10088232	10350264	9236628	8122992	0
2024-07-29	0	0	0	0	10481280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53886773	0	0	0	0	0	0	0	0
2024-08-05	0	0	0	0	17341066	0	0	9891708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
