date	bytes_sent	number_of_requests	number_of_downloads	number_of_views
2026-08-04	579805841	106	2	28
2026-08-05	4702136	21	2	1
2026-08-06	21379475	1	1	0
2026-08-07	127162892	114	10	2
2026-08-21	62360720	167	15	10
2026-08-22	340013033	770	85	31
2026-08-23	197436568	336	7	10
2026-08-24	87158728	141	3	6
2026-08-25	181536175	372	20	20
2026-08-26	81576325	112	10	8
2026-08-27	40154487	48	0	2
2026-08-28	65353242	49	1	2
2026-08-29	59385666	72	0	3
