week_start	sub-1803-calb-wt/sub-1803-calb-wt_ses-2025-11-10-0002_behavior.nwb	sub-302-calb-gs/sub-302-calb-gs_ses-2025-11-10-0005_behavior.nwb	sub-306-calb-gs/sub-306-calb-gs_ses-2025-11-10-0009_behavior.nwb	sub-3742-anxa-gs/sub-3742-anxa-gs_ses-2025-01-24-0006_behavior.nwb	sub-3743-anxa-gs/sub-3743-anxa-gs_ses-2025-01-24-0004_behavior.nwb	sub-3947-anxa-wt/sub-3947-anxa-wt_ses-2025-01-27-0000_behavior.nwb	sub-3948-anxa-wt/sub-3948-anxa-wt_ses-2025-01-27-0002_behavior.nwb	sub-4004-anxa-gs/sub-4004-anxa-gs_ses-2025-08-13-0001_behavior.nwb	sub-4005-anxa-gs/sub-4005-anxa-gs_ses-2025-08-13-0002_behavior.nwb	sub-4007-anxa-gs/sub-4007-anxa-gs_ses-2025-08-13-0005_behavior.nwb	sub-4253-anxa-wt/sub-4253-anxa-wt_ses-2025-08-14-0003_behavior.nwb	sub-4398-anxa-wt/sub-4398-anxa-wt_ses-2025-05-02-0001_behavior.nwb	sub-4401-anxa-wt/sub-4401-anxa-wt_ses-2025-07-02-0005_behavior.nwb	sub-4558-anxa-wt/sub-4558-anxa-wt_ses-2025-05-20-0001_behavior.nwb	sub-4561-anxa-wt/sub-4561-anxa-wt_ses-2025-07-02-0003_behavior.nwb	sub-4651-anxa-gs/sub-4651-anxa-gs_ses-2025-07-02-0001_behavior.nwb	sub-4652-anxa-gs/sub-4652-anxa-gs_ses-2025-05-20-0003_behavior.nwb	sub-4885-anxa-gs/sub-4885-anxa-gs_ses-2025-01-24-0002_behavior.nwb	sub-671-calb-wt/sub-671-calb-wt_ses-2026-03-19-0000_behavior.nwb	sub-673-calb-wt/sub-673-calb-wt_ses-2026-03-19-0004_behavior.nwb	sub-688-calb-wt/sub-688-calb-wt_ses-2025-12-17-0007_behavior.nwb	sub-740-calb-gs/sub-740-calb-gs_ses-2026-03-24-0003_behavior.nwb	sub-741-calb-gs/sub-741-calb-gs_ses-2026-03-24-0004_behavior.nwb	sub-848-calb-gs/sub-848-calb-gs_ses-2025-12-17-0006_behavior.nwb	sub-852-calb-gs/sub-852-calb-gs_ses-2025-12-17-0003_behavior.nwb	sub-935-calb-gs/sub-935-calb-gs_ses-2026-04-23-0004_behavior.nwb	sub-966-calb-wt/sub-966-calb-wt_ses-2026-04-23-0003_behavior.nwb
2026-08-03	163592500	42758950	19964921	23425722	23951490	23471455	24574192	20703176	21613108	20322596	20194744	20114143	20588503	19961959	20771958	19702097	21045963	22189249	20505330	20166085	19863692	21039604	22115403	19997749	20631409	19988547	19795799
2026-08-17	26392912	25944850	28447446	24073484	24338476	34239238	23258892	23380396	34152977	24846788	12327288	28798559	10297083	7509167	13952406	10000641	7413467	11897157	12506746	10071469	9703624	11403096	6123667	14554201	7457637	13496871	9832143
