week_start	sub-752309/sub-752309_ses-ecephys-752309-2025-02-11-14-00-40_ecephys.nwb	sub-752309/sub-752309_ses-ecephys-752309-2025-02-12-13-53-52_ecephys.nwb	sub-752311/sub-752311_ses-ecephys-752311-2025-01-22-14-05-21_ecephys.nwb	sub-752311/sub-752311_ses-ecephys-752311-2025-01-23-14-00-04_ecephys.nwb	sub-752312/sub-752312_ses-ecephys-752312-2025-01-30-11-44-04_ecephys.nwb	sub-752312/sub-752312_ses-ecephys-752312-2025-01-31-11-02-20_ecephys.nwb	sub-753316/sub-753316_ses-ecephys-753316-2025-01-28-13-57-06_ecephys.nwb	sub-753316/sub-753316_ses-ecephys-753316-2025-01-29-13-57-16_ecephys.nwb	sub-760322/sub-760322_ses-ecephys-760322-2025-02-05-14-30-46_ecephys.nwb	sub-760322/sub-760322_ses-ecephys-760322-2025-02-06-14-07-25_ecephys.nwb	sub-760324/sub-760324_ses-ecephys-760324-2025-02-19-10-56-40_ecephys.nwb	sub-760324/sub-760324_ses-ecephys-760324-2025-02-20-11-31-01_ecephys.nwb	sub-767925/sub-767925_ses-ecephys-767925-2025-02-13-11-40-19_ecephys.nwb	sub-767925/sub-767925_ses-ecephys-767925-2025-02-14-11-04-33_ecephys.nwb	sub-767926/sub-767926_ses-ecephys-767926-2025-02-26-15-49-35_ecephys.nwb	sub-767926/sub-767926_ses-ecephys-767926-2025-02-27-15-12-01_ecephys.nwb	sub-767932/sub-767932_ses-ecephys-767932-2025-03-25-14-35-45_ecephys.nwb	sub-767932/sub-767932_ses-ecephys-767932-2025-03-26-14-07-06_ecephys.nwb	sub-773206/sub-773206_ses-ecephys-773206-2025-04-01-10-47-58_ecephys.nwb	sub-773206/sub-773206_ses-ecephys-773206-2025-04-02-11-46-05_ecephys.nwb
2025-12-15	0	0	0	0	0	0	0	51824598087	56815419345	55477380591	55854209394	54719644251	52989152949	0	56905460541	53262848016	52625911376	50339285988	0	0
2025-12-22	35732557322	35359427028	0	0	0	0	0	0	0	0	0	0	78312910	0	0	0	0	0	0	0
2026-01-05	36045687984	35603390516	0	0	0	0	0	17272136529	18975278082	18491019021	18616606786	18238462077	17661675315	0	18965757347	17752907004	17526605372	16765763553	0	0
2026-01-12	17871388285	17683840518	0	0	0	0	0	17277377169	18940940583	18495473565	18621454378	18242785605	17665933335	0	18970866971	17757034008	17531714996	16769890557	0	0
2026-01-19	0	53895121430	0	0	0	0	72109647696	0	0	0	0	0	0	70466641545	0	0	0	0	0	0
2026-01-26	35732557322	47388094160	38563576132	0	31385095302	38973578477	35952448787	51816409587	56807296353	55473057063	55849820358	54715386231	52985025945	34404556842	56897272041	53258721012	52579816116	55616876943	34890292303	35076279920
2026-02-02	17876694433	41353668056	18417192626	65587119196	29864624152	38701886598	17965174197	17276394549	18947753415	18495277041	18624729778	18242982129	17665933335	17210728953	18974142371	17757034008	17534859380	16770021573	16806262181	17000934893
2026-02-09	1162304154	886922052	856865446	842981404	7214904018	798090064	56003183333	18243301860	826820850	951166701	835465976	920959674	910106427	833722593	827845311	855412476	1065850992	3654913303	830985844	807448908
2026-02-16	17885906726	35380291546	18374318457	18057188884	14944714936	18637039186	17977364642	17306974146	18955340922	18511967970	18636872162	18259305051	17681966866	17222379846	18985804898	17773228736	17568212064	16807842267	16818646890	17016861458
2026-02-23	66864809	34491870	0	0	0	0	210010124985	128235122079	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-02	98467865	105501734	94741226	104234474	98141962	103577099	556765110424	535536804684	16443522471	105661857	18719112810	105328506	15859041539	102013809	100761819	101019088	104049484	1451900256	102276473	101119449
2026-03-16	0	0	0	0	0	0	13902200393	0	0	0	0	0	6629847119	0	0	0	0	0	0	0
2026-03-23	0	0	40210851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-03-30	56263875	56566818	52115058	58950846	51325554	52726209	55175607	56609415	55516521	60816099	57324204	59253522	53930805	58797591	54574473	53300760	93895744	91964169	62243691	50400015
2026-04-06	32443298	35309252	31620824	34409300	31946092	32246618	34207090	32826510	32338110	34364478	33259364	34545576	33049682	33848574	33413286	33830632	34793860	34676310	34202570	33687354
2026-04-20	0	0	0	0	0	0	0	0	0	0	0	0	17661675315	0	0	0	0	0	0	0
2026-05-04	0	0	0	0	0	0	17956789173	1834801620	0	0	0	0	0	0	0	0	0	0	0	0
2026-05-11	0	0	18354872351	0	0	0	71827156692	69088546116	0	0	0	0	0	0	0	0	0	0	0	0
2026-05-18	80111668	55977246	58927890	52400046	55452558	56263641	305320722564	293686664364	51913581	59243907	61451208	55716090	57271713	60828339	57129285	53759316	58905360	60104703	54906795	60684771
