week_start	sub-EE/sub-EE_ses-EE-042_ecephys.nwb	sub-EE/sub-EE_ses-EE-043_ecephys.nwb	sub-EE/sub-EE_ses-EE-044_ecephys.nwb	sub-EE/sub-EE_ses-EE-045_ecephys.nwb	sub-EE/sub-EE_ses-EE-046_ecephys.nwb	sub-EE/sub-EE_ses-EE-047_ecephys.nwb	sub-EE/sub-EE_ses-EE-048_ecephys.nwb	sub-EE/sub-EE_ses-EE-049_behavior+ecephys.nwb	sub-EE/sub-EE_ses-EE-050_ecephys.nwb	sub-EE/sub-EE_ses-EE-080_ecephys.nwb	sub-EE/sub-EE_ses-EE-081_ecephys.nwb	sub-EE/sub-EE_ses-EE-082_ecephys.nwb	sub-EE/sub-EE_ses-EE-083_ecephys.nwb	sub-EE/sub-EE_ses-EE-084_ecephys.nwb	sub-EE/sub-EE_ses-EE-085_ecephys.nwb	sub-EE/sub-EE_ses-EE-086_ecephys.nwb	sub-EE/sub-EE_ses-EE-087_ecephys.nwb	sub-EE/sub-EE_ses-EE-088_behavior+ecephys.nwb	sub-EE/sub-EE_ses-EE-089_ecephys.nwb	sub-EE/sub-EE_ses-EE-196_behavior+ecephys.nwb	sub-EE/sub-EE_ses-EE-210_ecephys.nwb	sub-FF/sub-FF_ses-FF-103_behavior+ecephys.nwb	sub-FF/sub-FF_ses-FF-130_behavior+ecephys.nwb	sub-FF/sub-FF_ses-FF-167_behavior+ecephys.nwb	sub-GG/sub-GG_ses-GG-063_behavior+ecephys.nwb	sub-GG/sub-GG_ses-GG-069_behavior+ecephys.nwb	sub-GG/sub-GG_ses-GG-097_behavior+ecephys.nwb	sub-GG/sub-GG_ses-GG-149_behavior+ecephys.nwb
2021-04-19	83886080	0	4470116	5027817856	234881024	1862270976	1795162112	3390649093	3753146539	134217728	26697504	229468579	136333846	142606336	95998725	22331553	50331648	280601639	167772160	5232260426	3298270985	4673226378	3825205248	3255745633	12517249370	3164205890	3288334336	5147438352
2021-04-26	0	2720924	0	0	0	0	0	0	0	2190012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8640989357	0	0	12277340
2021-05-03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5110028	11214633	0	0	0	0	0	0	0	0	0	0
2021-06-07	191006530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-06-14	191006530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-07-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6174981217	0	0	0	0
2021-07-19	0	0	0	0	0	2650812117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-10-04	78744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-11-08	0	0	0	0	1293629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-04-11	106728	51728	277936	178760	52528	147456	98656	26173712	98432	163856	1214704	7660200	21939768	163832	0	182856	2476336	36225120	207112	42128	230760	45534464	35084048	176632	332176	34130464	216376	172944
2022-04-25	0	0	1371320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-05-16	0	0	171384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-05-23	0	0	0	0	0	0	0	0	0	0	0	0	0	28171049	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-06-27	0	0	0	0	0	0	0	0	0	13206436	0	0	0	12808252	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-07-11	102208522	5548677	4470116	4073599580	288589337	1836466272	2324470847	2977955840	2390753280	20971520	49200704	179136931	241900179	230596482	54055685	40468802	20971520	302693448	188743680	4089446400	3438766053	4148046308	4068474880	3721313377	4194304000	3753902080	5689812800	5770278380
2022-07-18	0	0	4470116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-07-25	0	11097354	0	0	0	0	0	0	0	139196237	0	0	0	121731290	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-08-01	31622978	122070894	62581624	4007449344	0	0	0	0	3900702720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3262034366	0
2022-08-08	0	88778832	75991972	0	0	2113941205	536870912	1788424965	0	0	0	0	287328790	0	0	30720161	90480951	0	412963269	3758096384	8458812946	3221225472	6368594459	3490626657	4882892973	5368709120	0	6355397904
2022-08-15	0	38840739	31290812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-08-22	191006530	16646031	22350580	7183690112	0	5301624234	3147239342	0	0	518252007	0	0	287328790	679670196	0	30720161	0	0	412963269	8814196042	7450631945	0	6368594459	0	0	0	0	0
2022-08-29	0	38840739	4470116	0	439860342	0	0	0	0	0	35086112	0	0	0	137941765	0	0	0	0	0	0	0	0	0	0	0	0	8502881552
2022-09-05	0	38840739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-10-03	0	0	8712367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75363008	0	0	0	0	0	0	0	0	0	0
2022-10-10	0	0	1858234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-11-14	0	0	0	0	0	0	7631860	15295550	0	0	0	0	0	0	0	0	0	12509145	0	0	6403657	0	0	5242880	0	6943554	0	0
2022-12-12	178250890	0	0	144740806	73164268	139828878	144376645	200184715	152109140	0	22961944	50535965	140190791	72534914	9224596	21900120	8693684	316155088	170886858	369053854	259516929	437972383	349503700	200354334	151444190	138667039	197001367	173970176
2023-01-02	133987040	0	0	135084499	105748813	117495365	125161868	195740560	125493386	0	0	48543859	56375749	74425819	13969153	0	0	115705165	70709435	107344789	101203472	116702857	97256965	95197751	66229451	77577640	36466549	25649217
2023-02-06	0	0	0	65831212	5242880	100439569	51529301	207508464	73794892	36168775	8871712	97038005	86238481	72246948	12112645	9748641	11837751	45593608	75756733	149770121	78271289	191358605	62345750	95431734	1077402120	183574343	278609989	340805822
2023-02-13	191006530	5548677	0	0	0	345233464	0	0	0	323745613	35086112	263023011	0	109051904	0	0	90480951	0	412963269	0	0	0	0	0	0	0	0	0
2023-02-20	0	0	0	0	0	0	0	0	0	0	0	0	0	281114842	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-02-27	0	0	0	0	0	0	0	0	0	0	8871712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-04-03	21301906	0	0	95760438	0	0	45822935	91148609	0	8925489	0	77943111	46121159	0	0	0	0	0	0	180438088	0	176887200	0	0	0	0	0	113311426
