week_start	Neurophysiology
2023-06-12	94030232
2023-06-19	2989208
2023-06-26	7169440
2023-07-03	3691104
2023-07-10	1067024
2023-07-17	1067024
2023-07-24	1067024
2023-07-31	2032968
2023-08-07	1067024
2023-08-14	1067024
2023-08-21	1067024
2023-08-28	4269720
2023-09-04	1067024
2023-09-11	1613288
2023-09-18	1067024
2023-09-25	2032968
2023-10-02	2158656
2023-10-09	304864
2023-10-16	5081760
2023-10-23	9876800
2023-10-30	5480256
2023-11-06	3877288
2023-11-13	2526256
2023-11-20	6155464
2023-11-27	86582248
2023-12-04	31426160
2023-12-11	1118376
2024-01-01	1931888
2024-01-22	267472188
2024-02-26	24264710
2024-03-04	203010538
2024-03-11	285690064
2024-03-18	256501992
2024-03-25	383824284
2024-04-01	131122416
2024-04-15	127301200
2024-05-20	701360
2024-05-27	3124016
2024-06-03	93014712
2024-06-10	7314296
2024-06-17	1257632
2024-06-24	713384
2024-07-08	140696584
2024-07-15	1059136
2024-07-29	87625688
2024-08-26	183629816
2024-09-02	41634232
2024-09-09	35302072
2024-09-16	161562672
2024-09-23	110373256
2024-09-30	25259520
2024-10-07	1769648
2024-10-14	4153288
2024-10-21	100924344
2024-10-28	139985440
2024-11-11	1306768
2024-11-18	81015480
2024-11-25	4354216
2024-12-02	4835584
2024-12-16	1197944
2025-02-10	546264
2025-02-17	2372768
2025-03-10	901144
2025-06-09	86582248
2025-07-21	5337848
2025-07-28	34763720
2025-08-04	9678048
2025-08-11	24073368
2025-08-18	7020904
2025-08-25	13496648
2025-09-01	195671952
2025-09-08	8496040
2025-09-29	1102984
2025-10-06	2941496
2025-12-08	4185992
2025-12-15	358082128
2025-12-22	7000976
2025-12-29	12008392
2026-01-05	14548256
2026-01-12	230084344
2026-01-19	13935888
2026-01-26	27754048
2026-02-02	2758032
2026-02-16	26751608
2026-02-23	63085136
2026-03-02	74614848
2026-03-09	17741440
2026-03-16	73519584
2026-03-23	10325388
2026-03-30	8568120
2026-04-06	2779488
2026-04-13	3607096
2026-04-20	71783072
2026-04-27	95146372
2026-05-04	3168120
2026-05-11	38332188
2026-05-18	135156284
2026-05-25	102984800
2026-06-01	29747832
2026-06-08	128068228
2026-06-15	128562984
2026-06-22	187578012
2026-06-29	153638484
2026-07-06	182811774
2026-07-13	239021332
2026-07-20	47443662
