week_start	sub-001/sub-001.nwb
2024-03-04	578209669
2024-03-11	601172044
2024-03-18	445697236
2024-03-25	1202184592
2024-04-01	304395268
2024-04-08	614788732
2024-04-15	657525584
2024-04-22	1106963040
2024-04-29	806723592
2024-05-06	794517908
2024-05-13	732070984
2024-05-20	846493988
2024-05-27	749740316
2024-06-03	730182124
2024-06-10	369626840
2024-06-24	6423836
2024-07-08	14412641
2024-07-22	372729580
2024-08-05	177095408
2024-08-19	177095408
2024-08-26	186418656
2024-09-02	177095408
2024-09-09	51859120
2024-09-16	14953240
2024-09-23	9323248
2024-10-28	9760692
2024-11-11	76988
2024-11-18	181156904
2025-02-24	4127004
2025-03-03	24312
2025-03-10	20260
2025-03-17	95993532
2025-03-24	16208
2025-03-31	12156
2025-04-07	16208
2025-04-14	24312
2025-04-21	16208
2025-04-28	20260
2025-05-05	4052
2025-07-14	24312
2025-07-28	4052
2025-08-04	4052
2025-08-11	4832208
2025-08-18	52436904
2025-08-25	8104
2025-09-01	4052
2025-09-08	8104
2025-09-15	4052
2025-09-22	766660
2025-10-06	372400020
2025-10-13	5656272
2025-10-20	774764
2025-10-27	766660
2025-11-03	31480000
2025-11-10	43827096
2025-11-17	10545884
2025-11-24	28036520
2025-12-01	18243332
2025-12-08	15431444
2025-12-15	205628452
2026-01-05	18104040
2026-01-19	2287824
2026-01-26	109368216
2026-02-02	13971736
2026-02-09	2287824
2026-02-16	6061820
2026-02-23	18557296
2026-03-02	8492552
2026-03-16	4580604
2026-03-23	1832416
2026-03-30	204800
2026-04-06	8974596
