week_start	Neurophysiology
2024-03-04	419651161
2024-03-11	42299808
2024-03-18	147881902
2024-03-25	674630044
2024-04-01	20124188
2024-04-08	10677804
2024-04-15	6293896
2024-04-22	531286224
2024-06-24	16512068
2024-07-08	24995713
2024-07-22	59099696
2024-08-19	276106668
2024-08-26	9323248
2024-09-09	149171968
2024-09-16	14953240
2024-09-23	9323248
2024-10-07	5348168
2024-10-28	186856100
2024-11-11	73540128
2024-11-18	362379316
2024-11-25	177095408
2025-02-24	4127004
2025-03-03	32416
2025-03-10	28364
2025-03-17	273092992
2025-03-24	28364
2025-03-31	28364
2025-04-07	28364
2025-04-14	28364
2025-04-21	28364
2025-04-28	28364
2025-05-05	4052
2025-07-14	28364
2025-07-28	8104
2025-08-04	12156
2025-08-11	10245884
2025-08-18	177103512
2025-08-25	12156
2025-09-01	12156
2025-09-08	8104
2025-09-15	8104
2025-09-22	4967276
2025-09-29	8104
2025-10-06	381813736
2025-10-13	15139548
2025-10-20	4897716
2025-10-27	4901768
2025-11-03	74620424
2025-11-10	56221684
2025-11-17	35152500
2025-11-24	35279464
2025-12-01	35471936
2025-12-08	29665212
2025-12-15	411191396
2026-01-05	50656560
2026-01-19	19820480
2026-01-26	207022652
2026-02-02	19623956
2026-02-09	20279036
2026-02-16	22700852
2026-02-23	28811628
2026-03-02	8492552
2026-03-16	14532864
2026-03-23	29822864
2026-03-30	925388
2026-04-06	68193828
2026-04-13	12156
2026-04-20	21007728
2026-04-27	1056232
2026-05-04	12156
2026-05-11	177103512
2026-05-18	178185212
2026-05-25	182549216
2026-06-01	177876468
2026-06-08	1064508
