region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	849042548	321	24	165
USA/NH	525064728	648	108	97
CHN	177095408	34	0	1
USA/PA	673509128	502	31	3
USA/CA	43562634	14	2	2
VPN	926399210	123	19	6
ITA/32	531286224	3	3	0
USA/VT	25172700	31	5	5
AWS/us-west-2	14168260	15	3	1
USA/NY	632247283	119	19	6
AWS/us-east-1	222382548	30	6	2
NOR/50	149171968	32	0	2
AWS/us-east-2	9323248	2	0	1
ITA/45	177095408	34	0	1
USA/TN	40942500	1	1	0
USA/WA	925388	3	1	1
USA/MD	13191936	9	3	2
USA/VA	17669765	29	1	4
USA/MN	73540128	11	1	1
USA	177095408	1	1	0
USA/IL	60247020	5	2	1
USA/MA	240094598	34	0	6
USA/MI	99011260	1	1	0
USA/NC	177095408	1	1	0
USA/GA	55026720	1	1	0
AWS/ap-southeast-1	9891708	1	1	0
USA/NV	13036092	1	1	0
GCP/us-central1	177095408	1	1	0
EST/37	177095408	1	1	0
MEX/CMX	5815092	22	5	5
CHN/SH	177095408	1	1	0
CHE/VD	177864312	17	1	1
GCP/asia-south1	1056404	3	1	1
FRA/IDF	9041444	15	4	4
CHN/BJ	1224312	4	1	1
ARG/N	1113636	1	1	0
