week_start	Microscopy	Miscellaneous
2025-06-30	246930485393	32056
2025-07-07	40371810722	82558
2025-07-21	14371030658	222
2025-07-28	89819394138	21139
2025-08-04	54600031430	6117
2025-08-11	74751414189	926
2025-08-18	32119365730	718
2025-08-25	33340889627	6624
2025-09-01	36577649555	5935
2025-09-08	32972091765	0
2025-09-15	2804286132	12348
2025-12-08	4830226004	222
2025-12-15	319825275712	371592
2025-12-22	16001057416	9429
2025-12-29	21024284776	1162
2026-01-05	39225242694	18835
2026-01-12	255851385213	53688
2026-01-19	74560491884	436
2026-01-26	95100599415	6425
2026-02-02	43952855076	0
2026-02-23	2333184851	0
2026-03-16	3664320996	21184
2026-03-23	8516040	0
2026-03-30	0	9975
2026-04-06	0	5896
2026-04-13	10743312	25138
2026-04-20	3954979992	30693
2026-04-27	31443840	16505
2026-05-04	5764704	5724
2026-05-11	11587144866	223
2026-05-18	7557872890	25119
2026-05-25	20307480	9733
2026-06-01	107105580	11311
2026-06-08	2701156872	63799
2026-06-15	1746246756	45574
2026-06-22	1369886610	22811
2026-06-29	5574067164	433
2026-07-06	562320675	21536
2026-08-03	385215608	18318
2026-08-10	0	31808
