region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA	290846658640	55513	2	63
USA/DC	1274654664	179	179	0
CHN	960517100970	88274	8	155
GitHub	4030981058	9681	1728	1078
USA/WA	484765866	516	159	159
VPN	756236238276	1086	817	91
AWS/us-east-1	752857609561	89996	313	159
USA/MA	796059249279	16306	1	185
AWS/ap-southeast-1	2031468588	360	360	0
AWS/us-west-2	1683868560	1810	477	159
CRI/SJ	4323528	1	1	0
IRQ/KA	8778072	1	1	0
BRA/RN	7205880	1	1	0
IND	14280744	2	2	0
MEX/CMX	191568308	342	110	58
ARG/B	25810152	4	4	0
DEU/BE	9564168	1	1	0
ESP/CT	13691172	1	1	0
GBR/ENG	22207212	2	2	0
USA/NC	7991976	1	1	0
VNM/HN	73434468	8	8	0
USA/MD	47110490	35	10	5
MEX/GRO	21814164	1	1	0
JPN/13	18744403466	17	15	2
ESP/AN	12839568	1	1	0
PAK/PB	45069504	5	5	0
IND/WB	1768716	1	1	0
COL/VAC	4651068	1	1	0
MAR/05	10481280	1	1	0
ZAF/GP	3668448	1	1	0
MAR/06	13167108	2	2	0
NPL	12118980	1	1	0
TUN/11	2685828	1	1	0
USA/CA	14589102396	1752	4	9
SGP	34915764	9	9	0
BGD	43169772	4	4	0
VNM/63	10546788	1	1	0
BGR/16	11267376	1	1	0
VNM/22	18211224	3	3	0
IND/MP	4454544	1	1	0
CHE/VD	102467004	228	98	36
VNM/37	9760692	1	1	0
USA/NY	15001332	1	1	0
CHL/RM	3995988	1	1	0
SAU/02	7205880	2	2	0
ALB/11	9498660	1	1	0
JAM/14	14739300	1	1	0
VNM/SG	88894356	10	10	0
MYS/10	22207212	3	3	0
BRA/RS	18735288	1	1	0
BGD/E	10546788	1	1	0
VNM/20	11660424	2	2	0
TUR/34	10153740	3	3	0
IDN/YO	25089564	5	5	0
SRB/00	10153740	1	1	0
KEN/30	19062828	4	4	0
DEU/NW	14829636	10	4	3
USA/IL	83546959	11	4	3
NOR/02	46183140	1	1	0
VNM/52	23975928	2	2	0
IRQ/BG	11594916	3	3	0
RUS/PRI	2292780	1	1	0
ECU/P	5306148	1	1	0
BRA/SC	7140372	1	1	0
CIV/AB	9105612	1	1	0
RUS/KDA	4389036	1	1	0
BRA/PR	5895720	1	1	0
IDN/JK	14346252	3	3	0
ISR/M	13625664	1	1	0
ETH/AA	3668448	1	1	0
THA/10	917112	1	1	0
SRB/VO	4389036	1	1	0
MAR/09	1113636	1	1	0
PSE	3340908	1	1	0
NIC/MN	5306148	1	1	0
SWE/AB	851604	1	1	0
ZAF/KZN	1113636	1	1	0
BGD/C	11791440	2	2	0
DEU/BW	9367644	1	1	0
IRQ/AR	12315504	1	1	0
ZAF/WC	8516040	1	1	0
VEN	917112	1	1	0
CHN/GD	685120	6	0	2
BRA/SP	15787428	2	2	0
PRY/10	2030748	1	1	0
VNM/26	13494648	1	1	0
MAR/01	1441176	1	1	0
RUS	4978608	1	1	0
IRQ	8909088	1	1	0
UZB/TK	7991976	2	2	0
ARE/DU	9826200	1	1	0
DZA/25	5699196	1	1	0
UKR/12	7795452	1	1	0
AFG	1375668	1	1	0
PHL/00	14542776	1	1	0
VNM	37405068	3	3	0
KAZ/71	3340908	1	1	0
VNM/70	9171120	2	2	0
IND/KA	5961228	1	1	0
JOR/AM	8319516	1	1	0
ARG/C	2358288	1	1	0
COL/ANT	7926468	1	1	0
NLD/NH	15394380	1	1	0
BRA/RJ	11987964	2	2	0
ARE/SH	25351596	1	1	0
PAK	3471924	1	1	0
SAU/01	11594916	2	2	0
JPN/26	2944767	13	2	1
FRA/IDF	7361724	9	3	3
VNM/61	4978608	1	1	0
ECU/G	16704540	1	1	0
GCP/asia-south1	9618561	45	4	2
ISR/TA	829347804	1	1	0
PAN/8	14084220	1	1	0
VEN/A	10677804	1	1	0
OMN/MA	11660424	1	1	0
DEU/SH	9171120	1	1	0
MYS/04	12774060	1	1	0
VNM/DN	11463900	1	1	0
COL/NAR	7271388	1	1	0
COL/BOL	1441176	1	1	0
ARE/AJ	2030748	1	1	0
IDN/SS	10088232	1	1	0
IRQ/BA	4323528	1	1	0
IDN/RI	8254008	1	1	0
