week_start	Microscopy	Miscellaneous
2025-02-17	8191067224	14111
2025-05-12	1106363	387
2025-06-02	19085666	391
2025-07-21	306507145	1253
2025-07-28	3120673387	9107
2025-08-04	1714987428	581
2025-08-11	1925641896	2800
2025-08-18	527337479	0
2025-08-25	937468833	391
2025-09-01	2004245192	1598
2025-09-08	891520269	8289
2025-12-08	75554063	866
2025-12-15	12292666403	276347
2025-12-22	625510092	668
2025-12-29	8794249218	91587
2026-01-05	743251130	887
2026-01-12	7617852629	44670
2026-01-19	1243555953	0
2026-01-26	3309278901	10278
2026-02-02	1569400638	87
2026-02-09	0	581
2026-02-23	21270895	0
2026-03-16	1687976613	7034
2026-03-23	184794562	8281
2026-03-30	1293887044	22526
2026-04-06	1475284464	25300
2026-04-13	1415493960	46018
2026-04-20	2824156970	21164
2026-04-27	429003698	1604
2026-05-04	0	392
2026-05-11	621494955	391
2026-05-18	2764831574	34261
2026-05-25	1052970645	37167
2026-06-01	340032454	18279
2026-06-08	1931805014	5889
2026-06-15	468878169	21460
2026-06-22	378171377	5752
2026-06-29	1616059534	2843
2026-07-06	1440415543	8837
2026-07-13	844972961	408
2026-07-20	1477425369	6504
2026-07-27	14084220	1162
2026-08-03	2142846839	126629
2026-08-10	1499822840	8717
2026-08-17	13887697	1964
