week_start	sub-Fig1F/sub-Fig1F_ses-BPAE-staining_image.nwb	sub-Fig2-0-03/sub-Fig2-0-03_ses-BPAE-bipolar-0 percent_image.nwb	sub-Fig2-0-06/sub-Fig2-0-06_ses-BPAE-bipolar-0 percent_image.nwb	sub-Fig2-0-07/sub-Fig2-0-07_ses-BPAE-bipolar-0 percent_image.nwb	sub-Fig2-100-03/sub-Fig2-100-03_ses-BPAE-bipolar-100 percent_image.nwb	sub-Fig2-100-07/sub-Fig2-100-07_ses-BPAE-bipolar-100 percent_image.nwb	sub-Fig2-100-08/sub-Fig2-100-08_ses-BPAE-bipolar-100 percent_image.nwb	sub-Fig2-25-04/sub-Fig2-25-04_ses-BPAE-bipolar-25 percent_image.nwb	sub-Fig2-25-10/sub-Fig2-25-10_ses-BPAE-bipolar-25 percent_image.nwb	sub-Fig2-25-14/sub-Fig2-25-14_ses-BPAE-bipolar-25 percent_image.nwb	sub-Fig2-50-06/sub-Fig2-50-06_ses-BPAE-bipolar-50 percent_image.nwb	sub-Fig2-50-10/sub-Fig2-50-10_ses-BPAE-bipolar-50 percent_image.nwb	sub-Fig2-50-12/sub-Fig2-50-12_ses-BPAE-bipolar-50 percent_image.nwb	sub-Fig2-50-13/sub-Fig2-50-13_ses-BPAE-bipolar-50 percent_image.nwb	sub-Fig2-50-18/sub-Fig2-50-18_ses-BPAE-bipolar-50 percent_image.nwb	sub-Fig2-75-02/sub-Fig2-75-02_ses-BPAE-bipolar-75 percent_image.nwb	sub-Fig2-75-05/sub-Fig2-75-05_ses-BPAE-bipolar-75 percent_image.nwb	sub-Fig2-75-10/sub-Fig2-75-10_ses-BPAE-bipolar-75 percent_image.nwb
2023-05-15	1951608364	717355208	612368384	830472192	823428651	731658322	717946827	305461812	838860800	715089016	955162390	738197504	744020548	805306368	834655775	837385767	928513839	1035780266
2023-05-22	399712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-05-29	387488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-05	367928	0	0	0	0	0	0	0	0	0	0	0	0	0	6288768	0	0	0
2023-06-12	627464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-19	87866060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-06-26	243201974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-03	12956530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-10	697552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-17	627464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-07-24	479976	0	0	0	0	0	0	0	0	0	0	0	0	0	23651555	0	0	0
2023-07-31	524800	1021672026	1022351207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-07	553720	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-14	665768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-21	496672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-08-28	682464	2043344052	1022351207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-04	732992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-09-11	496672	0	0	0	0	0	0	0	0	0	0	0	0	0	23651555	0	0	0
