week_start	sub-600ns-4kV-0,8MHz-BP-8-24-21-BPAE-13/sub-600ns-4kV-0,8MHz-BP-8-24-21-BPAE-13_ses-BPAE-5xBipolar-0,83MHz_image.nwb	sub-600ns-4kV-0,8MHz-BP-8-24-21-BPAE-15/sub-600ns-4kV-0,8MHz-BP-8-24-21-BPAE-15_ses-600ns-4kV-0-8MHz paired pulse trains_image.nwb	sub-600ns-4kV-0,8MHz-BP-8-24-21-BPAE-20/sub-600ns-4kV-0,8MHz-BP-8-24-21-BPAE-20_ses-600ns-4kV-0-8MHz paired pulse trains_image.nwb	sub-600ns-4kV-0,8MHz-UP-10-5-21-BPAE-05/sub-600ns-4kV-0,8MHz-UP-10-5-21-BPAE-05_ses-600ns-4kV-0-8MHz single pulse trains_image.nwb	sub-600ns-4kV-0,8MHz-UP-10-5-21-BPAE-06/sub-600ns-4kV-0,8MHz-UP-10-5-21-BPAE-06_ses-600ns-4kV-0-8MHz single pulse trains_image.nwb	sub-600ns-4kV-0,8MHz-UP-10-5-21-BPAE-10/sub-600ns-4kV-0,8MHz-UP-10-5-21-BPAE-10_ses-600ns-4kV-0-8MHz single pulse trains_image.nwb	sub-600ns-5kV-1HzBP-8-9-21-BPAE-13/sub-600ns-5kV-1HzBP-8-9-21-BPAE-13_ses-600ns-5kV-1Hz paired pulse trains_image.nwb	sub-600ns-5kV-1HzBP-8-9-21-BPAE-15/sub-600ns-5kV-1HzBP-8-9-21-BPAE-15_ses-600ns-5kV-1Hz paired pulse trains_image.nwb	sub-600ns-5kV-1HzBP-8-9-21-BPAE-8/sub-600ns-5kV-1HzBP-8-9-21-BPAE-8_ses-600ns-5kV-1Hz paired pulse trains_image.nwb	sub-600ns-5kV-1HzUP-7-31-21-BPAE-03/sub-600ns-5kV-1HzUP-7-31-21-BPAE-03_ses-600ns-5kV-1Hz single pulse trains_image.nwb	sub-600ns-5kV-1HzUP-7-31-21-BPAE-10/sub-600ns-5kV-1HzUP-7-31-21-BPAE-10_ses-600ns-5kV-1Hz single pulse trains_image.nwb	sub-600ns-5kV-1HzUP-7-31-21-BPAE-18/sub-600ns-5kV-1HzUP-7-31-21-BPAE-18_ses-600ns-5kV-1Hz single pulse trains_image.nwb	sub-600ns-5kV-1HzUP-7-31-21-BPAE-5/sub-600ns-5kV-1HzUP-7-31-21-BPAE-5_ses-600ns-5kV-1Hz single pulse trains_image.nwb	sub-600ns-5kV-1HzUP-8-9-21-BPAE-10/sub-600ns-5kV-1HzUP-8-9-21-BPAE-10_ses-600ns-5kV-1Hz single pulse trains_image.nwb	sub-600ns-5kV-1HzUP-8-9-21-BPAE-14/sub-600ns-5kV-1HzUP-8-9-21-BPAE-14_ses-600ns-5kV-1Hz single pulse trains_image.nwb
2024-11-25	0	0	0	0	0	0	0	10284756	0	0	7795452	0	0	0	0
2024-12-02	0	0	0	0	0	0	0	0	0	0	0	1045946044	0	0	0
2025-07-28	0	0	0	0	0	0	0	0	0	1045946044	0	0	0	0	0
2025-08-04	1059889928	0	0	0	1937377133	0	1044720117	0	0	0	1040653224	1045946044	0	0	0
2025-08-11	0	1050224264	1062796928	1936416446	0	0	0	1050030775	0	0	0	0	1042268029	0	0
2025-08-18	0	0	0	0	0	1940321181	0	0	1045517294	0	0	0	0	0	1041969715
2025-08-25	1059889928	0	0	1936416446	0	0	1044720117	0	0	0	0	0	0	0	0
2025-09-01	0	0	0	0	0	0	0	1050030775	0	0	0	0	0	1035878738	1041969715
2025-09-22	0	23920272	23830128	0	0	0	0	0	0	0	0	0	0	0	0
2025-09-29	0	0	10019028	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-06	0	48102576	68689516	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-13	0	72284880	73259100	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-20	0	24051288	24485208	0	0	0	0	0	0	0	0	0	0	0	0
2025-10-27	0	24837384	25074780	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-03	0	103560888	102391680	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-10	0	68270052	67956648	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-17	0	42974112	42423312	0	0	0	0	0	0	0	0	0	0	0	0
2025-11-24	0	42974112	42226788	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-01	0	41925984	43405932	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-08	0	36994044	36793320	0	0	0	0	0	0	0	0	0	0	0	0
2025-12-15	2134453648	2159163400	2187534856	3883117648	3885759610	3893219898	2100445578	2115979994	2104267204	2103487004	2089494948	2107941548	2093183114	2085907204	2098154666
2025-12-22	0	0	0	0	1937377133	0	0	0	0	0	0	1045946044	0	0	0
2025-12-29	0	1050224264	0	0	0	0	0	0	1045517294	0	0	0	0	0	0
2026-01-05	0	55130772	1118183432	0	0	0	0	0	0	0	1040653224	0	0	0	0
2026-01-12	3179669784	0	0	0	4591567490	0	0	0	0	0	0	3137838132	0	0	0
2026-01-19	0	23985780	23961144	0	0	1940321181	0	0	0	0	0	0	0	0	0
2026-01-26	0	38369712	37382892	0	0	0	1044720117	0	0	1045946044	0	0	1042268029	1035878738	1041969715
2026-02-02	1059889928	24509844	24812748	1936416446	0	0	0	1050030775	0	0	0	0	0	0	0
2026-02-09	0	23920272	24288684	0	0	0	0	0	0	0	0	0	0	0	0
2026-02-16	14690344	24161176	27063964	15083392	11807992	11218420	15607456	14952376	8860132	14362804	0	0	0	0	0
2026-02-23	6188040	30620928	30966804	5379974	0	0	0	0	0	0	10898772	4978608	6113433	1049176862	0
2026-03-02	0	0	0	0	5120137	5757941	0	6449935	5983498	6002648	0	0	0	6167066	0
2026-03-09	0	0	0	0	0	0	6005521	0	0	0	0	6002648	0	0	6122319
