region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	4401766786	15485	412	384
AWS/us-west-2	23826884	26	6	2
CAN/QC	679992980	138	0	15
USA/MA	41818551222	4380	0	48
USA	7259224755	1389	16	6
VPN	38391366086	160	116	14
AWS/us-east-1	18895962376	2261	62	15
AWS/ap-southeast-1	240807408	37	37	0
USA/MD	48951728	30	10	10
USA/WA	9122164	6	2	2
USA/IL	274568856	18	12	2
CHN	24219537571	2412	0	14
USA/CA	18504382620	72	23	6
MEX/CMX	50087516	190	38	37
DEU/NW	4766232	16	4	4
IND/PB	4258020	2	2	0
USA/FL	2685828	1	1	0
CAN/ON	1441176	1	1	0
CHN/BJ	6818020	30	5	5
BRA/PR	5568180	3	3	0
HKG/KKC	1045946044	125	0	1
NGA	1113636	1	1	0
SAU/02	2227272	2	2	0
ESP/NC	2096256	1	1	0
DNK	851604	1	1	0
HKG	17621652	3	3	0
SYC	7991976	3	3	0
BRA/SP	7533420	5	5	0
ZAF/GP	1113636	1	1	0
JOR/AM	7271388	2	2	0
USA/NH	1489695552	2976	248	194
USA/VT	241241304	480	40	8
BRA/CE	7009356	2	2	0
MEX/SLP	27840900	1	1	0
IRQ/BG	17687160	2	2	0
MEX/BCS	851604	1	1	0
MAR/06	1113636	1	1	0
ECU/A	1637700	1	1	0
NLD	3180002165	150	3	3
GBR/ENG	15067709513	15	15	0
USA/VA	559717128	194	3	2
VNM/HN	23713896	3	3	0
USA/PA	11267376	1	1	0
ARE/DU	1375668	1	1	0
SGP	610043348	2	2	0
BGD/C	5830212	1	1	0
DEU/HE	16442508	2	2	0
ESP/CN	2292780	1	1	0
AWS/us-east-2	101842176	20	0	2
NOR/50	333112192	69	0	2
USA/RI	70384896	14	0	1
JPN/13	10019028	12	1	1
CHE/BS	14608284	1	1	0
BGD/A	7598928	1	1	0
ARE/SH	1048128	1	1	0
VEN/B	851604	1	1	0
FRA/IDF	10981216	14	4	3
USA/NY	18014700	1	1	0
BRA/RJ	1834225	2	1	1
GBR/SCT	1045946044	1	1	0
VNM/SG	14346252	3	3	0
VNM/56	1113636	1	1	0
VNM/26	7009356	1	1	0
BRA/RS	1113636	1	1	0
EGY/GZ	1048128	1	1	0
COL/ANT	5240640	2	2	0
CHE/VD	2718932	10	2	1
BRA/MT	15066840	1	1	0
ARG/B	14084220	1	1	0
ESP/VC	1113636	1	1	0
PAK/PB	1113636	1	1	0
VNM/HP	851604	1	1	0
PAK/SD	1048128	1	1	0
BGD/F	917112	1	1	0
BRA/PI	1703208	1	1	0
AGO/LUA	3340908	1	1	0
VEN/A	1310160	1	1	0
IDN/YO	14018712	1	1	0
IRQ	851604	1	1	0
PRY/ASU	1113636	1	1	0
ARG/M	1768716	1	1	0
VNM	11594916	1	1	0
