region	bytes_sent
US/California	46968642672594
NL/North Holland	23650828283051
AWS/us-east-1	19792266212639
VPN	2579833691526
CN/Shanghai	2308225090574
HK/Hong Kong	307544414796
US/Massachusetts	284867364996
US/Virginia	208754755128
AWS/us-east-2	203076799900
US/New Hampshire	180423803042
GB/England	179247557543
CA/British Columbia	158548250667
IN/Uttarakhand	152394372808
BR/Pernambuco	89309814212
US/Pennsylvania	51954874581
GitHub	13885692776
US/Michigan	11073697612
GCP/us-east1	6806093367
US/New Jersey	6109289847
CA/Quebec	4783789058
US/New York	4378099213
US/Maryland	2294689418
CN/Beijing	2030409616
TW/Taiwan	350596998
SE/Stockholm	328631329
AWS/ap-southeast-1	306269860
US/Rhode Island	186374655
NL/Gelderland	145067773
US/Washington	101776238
US/Texas	27170485
GB/Scotland	23492856
JP/Osaka	21667377
JP/Tokyo	16325544
US/Kansas	13670984
IT/Trentino-Alto Adige	9556416
