week_start	sub-despereaux/sub-despereaux_ses-despereaux-03_behavior+ecephys.nwb	sub-despereaux/sub-despereaux_ses-despereaux-04_behavior+ecephys.nwb	sub-despereaux/sub-despereaux_ses-despereaux-05_behavior+ecephys.nwb	sub-despereaux/sub-despereaux_ses-despereaux-06_behavior+ecephys.nwb	sub-despereaux/sub-despereaux_ses-despereaux-07_behavior+ecephys.nwb	sub-despereaux/sub-despereaux_ses-despereaux-08_behavior+ecephys.nwb	sub-despereaux/sub-despereaux_ses-despereaux-09_behavior+ecephys.nwb	sub-despereaux/sub-despereaux_ses-despereaux-10_behavior+ecephys.nwb	sub-despereaux/sub-despereaux_ses-despereaux-11_behavior+ecephys.nwb	sub-despereaux/sub-despereaux_ses-despereaux-12_behavior+ecephys.nwb	sub-despereaux/sub-despereaux_ses-despereaux-13_behavior+ecephys.nwb	sub-despereaux/sub-despereaux_ses-despereaux-14_behavior+ecephys.nwb	sub-jaq/sub-jaq_ses-jaq-06_behavior+ecephys.nwb	sub-jaq/sub-jaq_ses-jaq-07_behavior+ecephys.nwb	sub-jaq/sub-jaq_ses-jaq-08_behavior+ecephys.nwb	sub-jaq/sub-jaq_ses-jaq-09_behavior+ecephys.nwb	sub-jaq/sub-jaq_ses-jaq-10_behavior+ecephys.nwb	sub-jaq/sub-jaq_ses-jaq-11_behavior+ecephys.nwb	sub-jaq/sub-jaq_ses-jaq-12_behavior+ecephys.nwb	sub-jaq/sub-jaq_ses-jaq-13_behavior+ecephys.nwb	sub-jaq/sub-jaq_ses-jaq-14_behavior+ecephys.nwb	sub-jaq/sub-jaq_ses-jaq-15_behavior+ecephys.nwb	sub-jaq/sub-jaq_ses-jaq-16_behavior+ecephys.nwb	sub-jaq/sub-jaq_ses-jaq-17_behavior+ecephys.nwb	sub-jaq/sub-jaq_ses-jaq-18_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-03_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-04_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-05_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-06_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-07_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-08_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-09_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-10_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-11_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-12_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-13_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-14_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-15_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-16_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-17_behavior+ecephys.nwb	sub-montague/sub-montague_ses-montague-18_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-07_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-08_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-09_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-10_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-11_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-12_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-13_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-14_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-15_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-16_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-17_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-18_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-19_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-20_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-21_behavior+ecephys.nwb	sub-roquefort/sub-roquefort_ses-roquefort-22_behavior+ecephys.nwb
2022-04-04	0	1678592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-04-11	0	0	0	3015552	2683025637	369576	0	3315841322	7215702445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3405787649	3219691000	1749816	3605911208	3186218371	6964798003	6439368123	3954146001	1676584	2225928	1952072	2504576	3612617613	6869818934	6381149351	645552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-05-16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-07-11	172673565796	208324174071	156899793873	144145189084	79859347953	77666203801	161105046688	160949162853	140598228881	121347818452	168688454093	183491149627	203078334942	158896325379	168366352950	194141568471	92843059367	146380438330	160142829834	159181822713	173825697415	152072023331	157249970520	143020814521	143854279793	184250654167	124851271142	183721580832	139782961422	134291413394	149411956998	170037475698	171251861218	142830147045	169028223958	153906284487	153089925582	162682790089	148887983051	175608095299	89993158374	175916104443	136394898986	154035217701	191525101648	179961743476	147522041736	166910987203	175102571833	173564705216	166062596466	138435933150	168980756412	188256742877	163483890230	144606564268	79057726226
2022-07-18	0	0	0	0	0	0	0	0	0	0	0	4569508240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263775116	0	0	197329892	0	0	0	263045112	0	247548649	0	0	0	175894320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-07-25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69734498304	0	0	0	71663878144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-08-01	0	0	69877104640	0	0	42488299520	64818774016	0	76088518492	71756152832	0	0	0	0	75749130240	93789442276	45067402504	72664670278	70036488192	84104183808	72293023744	78935338744	0	146626652113	74297901056	0	0	0	79725330432	83308739845	79286993281	84635472491	73721888716	0	72485961728	0	0	0	0	0	75096713661	82686509056	0	0	0	74700554240	0	0	0	0	81457006568	0	0	74841214678	46170898432	0	0
2022-08-08	140583224216	141197049856	91268055040	164436841586	80698922028	59592671232	50465865728	137079570340	71810330780	74795417681	143021603334	174549758132	196494753792	167512062298	79909658180	92547945052	37844799600	92285612786	64424509440	68743942115	0	83214991360	153806828674	0	0	138794671027	114962985813	172725205784	50465865728	81102524421	81971359361	89534431099	76498529468	183059016073	55297703936	131533373440	145647934860	129179560863	148794583538	153479481277	0	77309411328	189838711271	158060275452	150380344160	80992441097	132070244352	164819369984	140123308032	152471339008	89120571392	167234076620	173934353239	83045246542	92019768629	177704271872	77309411328
2022-08-22	221801316459	129341197189	175558888091	85815450169	120332124310	89068587812	170016641317	103576164713	153051304221	147857261192	157560034077	276442823079	182824616353	167465100249	101599254586	306067462893	137670817881	161791852609	194741572413	164712049129	290102042888	194649713662	18897856102	75591424408	799987810441	151125219868	43415612263	207876417122	157983378870	98368617641	177104873447	168883951893	123528409856	125777641681	172015499062	0	57397168866	136768369239	191204928597	61732669620	18897856102	85182422871	150572554834	94489280510	189812122530	267281580350	73821482000	94489280510	187428899146	142707489025	185244490947	152356135938	19334173232	151500424964	155700586270	37795712204	60339042764
2022-08-29	0	0	0	85815461641	0	0	0	0	0	0	54093954683	0	0	0	237676764437	0	37795712204	0	0	0	0	0	64119642203	0	0	96064132564	56693568306	0	0	0	0	0	870283913642	912975546563	0	170080704918	321612647230	0	0	122804837351	0	104080241137	0	0	0	0	0	188978561020	0	0	0	0	94489153023	0	0	352376952186	0
2022-10-31	57105753	0	6769128	9954600	44513997637	10252769	9821872	12541913	9987313	6370944	6536385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-11-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8859125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5242880	0	0
2022-12-05	0	0	0	0	89825727532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2022-12-12	94371840	78643200	104857600	104857600	92944173	246415360	262144000	230686720	214958080	235929600	246779025	241172480	199229440	183500800	230686720	62914560	52428800	80666337	57671680	0	115343360	83886080	52428800	53821948	78643200	145803568	0	15728640	0	0	0	36700160	65203029	78643200	52428800	78311008	52428800	57671680	73400320	0	75921160	73400320	0	36700160	73400320	49109980	26214400	77281897	110100480	152043520	141557760	161167977	89128960	38590569	41943040	74826057	31457032
2023-01-02	297018309	330301440	235929600	328210133	115343360	220200960	318553509	311950581	162529280	125829120	22630372	20971520	47185920	41943040	47185920	31457280	95499532	31457280	26214400	62914560	99614720	41943040	36700160	62914560	36700160	54252597	68022906	5242880	22198289	10485760	46985960	10485760	20971520	31457280	31457280	31457280	15728640	10485760	10485760	32152889	0	39686292	15728640	0	15728640	20971520	12442781	0	0	0	0	10087328	20971520	5242880	10485760	10485760	20971520
2023-01-30	21667377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-02-06	524288000	807403520	0	1048576000	130134029	10120041	524288000	524288000	0	1158676480	2097152000	0	594677606	1572864000	0	0	24321937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40290702161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-02-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524288000	1048576000	765414559	524288000	1057601504	64311267	72718313517	0	524288000	1048576000	69969379328	532118952	1057734232	22031027	535602593	1572864000	1048576000	1066693372	0	1584278608	0	535403501	586518934	1069547520	609795164	0	1048576000	1337431165	1059890593	0	1572864000	1048576000	0	0	524288000	12078248	524288000	524288000	1582884964	9954600	0	1048576000	524288000
2023-02-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13472104448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-02-27	0	0	0	41045665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-03-06	0	0	0	0	0	1628066468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2023-03-27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55900663	0
2023-04-03	0	0	0	0	0	0	0	0	0	0	8030044	0	0	0	0	0	0	0	0	0	0	0	0	0	18946453	6403657	0	6370944	0	0	0	0	0	0	0	0	0	0	0	6636400	117035898	0	0	0	0	0	0	0	0	0	0	8726397	0	0	0	524288000	11613700
2023-04-10	0	0	86593806718	0	0	6197354074	106617993820	0	87623684658	70093866268	0	10950060	0	0	0	111445882219	75871656543	52570399701	0	0	60684720545	0	0	0	184043097263	0	0	0	101550866455	0	43513500040	73246063106	0	0	89303682146	0	0	0	0	0	0	143250380712	0	1990037	0	0	0	0	0	0	0	0	0	87617332835	0	0	0
2023-04-17	0	99614720	0	0	0	0	30759245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9721857	0	0	0	0	0
2023-04-24	0	0	0	0	0	0	0	0	0	0	0	10087328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7631860	0	0	0	0	0	10485512	11513685	0	0	0	0	5242880	0	0	11613700	0	0	0	0	0	22431032	0	0	0	0	0	0	524288000	0	0
2023-05-01	0	0	0	0	70676722	0	0	0	0	0	0	0	0	0	0	0	0	0	4446388	0	0	0	0	0	0	0	0	0	0	545125358	0	0	0	0	11910986	11879156	0	5242880	0	0	47185920	0	6437308	0	0	18912802	0	0	8693684	10451861	0	0	0	0	0	0	0
2023-05-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177253554	0	0	0	76168560640	0	0	0	0	0	0	104857600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183500800	0	0	0
2023-05-15	0	151478709	0	0	0	0	16424621	0	0	0	0	0	0	0	0	0	48610223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	524288000	0	0	0	0	0	0	0	0	0	15728640	0	0	0	10053677	0	0	0	0
2023-05-22	0	0	19378536	26377400	0	0	0	0	58799744	0	0	0	0	8627320	0	7432768	0	0	0	0	0	0	0	0	0	0	6230976	0	0	0	0	0	0	0	0	0	0	0	0	2190012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152043520
