asset_path	bytes_sent	number_of_requests	number_of_downloads	number_of_views
sub-091/sub-091_ses-LE091-10_ecephys.nwb	1184384564	798	147	91
sub-115/sub-115_ses-LE115-13_ecephys.nwb	347069218	760	144	86
sub-115/sub-115_ses-LE115-04_ecephys.nwb	692805400	832	140	86
sub-108/sub-108_ses-LE108-06_ecephys.nwb	817746516	801	146	89
sub-114/sub-114_ses-LE114-06_ecephys.nwb	207336564	768	145	86
sub-108/sub-108_ses-LE108-05_ecephys.nwb	930269958	824	148	92
sub-115/sub-115_ses-LE115-07_ecephys.nwb	892030940	873	142	93
sub-114/sub-114_ses-LE114-13_ecephys.nwb	509400824	808	150	89
sub-092/sub-092_ses-LE092-02_ecephys.nwb	675896700	697	148	89
sub-115/sub-115_ses-LE115-02_ecephys.nwb	876068396	781	146	87
sub-092/sub-092_ses-LE092-09_ecephys.nwb	627082728	831	151	91
sub-115/sub-115_ses-LE115-05_ecephys.nwb	589889986	764	134	86
sub-116/sub-116_ses-LE116-01_ecephys.nwb	782485306	792	139	88
sub-101/sub-101_ses-LE101-08_ecephys.nwb	295198884	825	137	87
sub-092/sub-092_ses-LE092-12_ecephys.nwb	664817590	828	143	88
sub-091/sub-091_ses-LE091-02_ecephys.nwb	854627452	853	154	98
sub-116/sub-116_ses-LE116-02_ecephys.nwb	498477642	747	139	85
sub-091/sub-091_ses-LE091-04_ecephys.nwb	323378910	870	170	100
sub-101/sub-101_ses-LE101-05_ecephys.nwb	230214528	808	149	90
sub-091/sub-091_ses-LE091-03_ecephys.nwb	185904650	742	159	95
sub-115/sub-115_ses-LE115-12_ecephys.nwb	490719196	811	142	91
sub-114/sub-114_ses-LE114-12_ecephys.nwb	961662292	778	137	88
sub-092/sub-092_ses-LE092-13_ecephys.nwb	338480580	852	144	90
sub-115/sub-115_ses-LE115-08_ecephys.nwb	646421632	775	137	88
sub-101/sub-101_ses-LE101-02_ecephys.nwb	395790968	758	139	88
sub-115/sub-115_ses-LE115-10_ecephys.nwb	676707548	873	135	90
sub-114/sub-114_ses-LE114-08_ecephys.nwb	693015144	829	139	92
sub-116/sub-116_ses-LE116-10_ecephys.nwb	484921920	820	131	85
sub-108/sub-108_ses-LE108-01_ecephys.nwb	268217536	756	129	87
sub-116/sub-116_ses-LE116-08_ecephys.nwb	582966384	750	126	86
sub-108/sub-108_ses-LE108-02_ecephys.nwb	214512808	738	128	86
sub-115/sub-115_ses-LE115-11_ecephys.nwb	270870780	768	125	88
sub-101/sub-101_ses-LE101-03_ecephys.nwb	186491384	739	134	87
sub-108/sub-108_ses-LE108-11_ecephys.nwb	527906904	779	131	89
sub-091/sub-091_ses-LE091-08_ecephys.nwb	578201986	748	131	87
sub-108/sub-108_ses-LE108-12_ecephys.nwb	470853848	818	129	86
sub-114/sub-114_ses-LE114-04_ecephys.nwb	221772668	756	131	86
sub-108/sub-108_ses-LE108-13_ecephys.nwb	699300378	837	131	87
sub-101/sub-101_ses-LE101-01_ecephys.nwb	861000220	777	131	91
sub-091/sub-091_ses-LE091-09_ecephys.nwb	851817848	863	135	93
sub-092/sub-092_ses-LE092-07_ecephys.nwb	840938720	758	130	90
sub-091/sub-091_ses-LE091-01_ecephys.nwb	953630850	935	143	99
sub-116/sub-116_ses-LE116-04_ecephys.nwb	447346784	766	128	86
sub-101/sub-101_ses-LE101-06_ecephys.nwb	321553176	859	136	90
sub-114/sub-114_ses-LE114-01_ecephys.nwb	361817344	738	130	86
sub-115/sub-115_ses-LE115-09_ecephys.nwb	589837552	764	124	86
sub-092/sub-092_ses-LE092-05_ecephys.nwb	1097583480	814	135	92
sub-108/sub-108_ses-LE108-04_ecephys.nwb	660424558	762	129	88
sub-115/sub-115_ses-LE115-03_ecephys.nwb	798795192	786	135	97
sub-115/sub-115_ses-LE115-06_ecephys.nwb	709620928	740	125	88
sub-114/sub-114_ses-LE114-03_ecephys.nwb	636922756	777	136	91
sub-092/sub-092_ses-LE092-11_ecephys.nwb	571848120	763	130	87
sub-116/sub-116_ses-LE116-05_ecephys.nwb	634762852	875	134	91
sub-114/sub-114_ses-LE114-09_ecephys.nwb	681150916	799	134	90
sub-101/sub-101_ses-LE101-07_ecephys.nwb	199514610	838	133	89
sub-114/sub-114_ses-LE114-05_ecephys.nwb	666821760	807	133	91
sub-092/sub-092_ses-LE092-01_ecephys.nwb	1371389948	804	142	93
sub-114/sub-114_ses-LE114-11_ecephys.nwb	514010954	821	129	87
sub-092/sub-092_ses-LE092-04_ecephys.nwb	510590012	777	131	88
sub-091/sub-091_ses-LE091-05_ecephys.nwb	656196608	820	139	92
sub-091/sub-091_ses-LE091-07_ecephys.nwb	707719090	828	142	95
sub-092/sub-092_ses-LE092-10_ecephys.nwb	996568492	768	126	88
sub-092/sub-092_ses-LE092-06_ecephys.nwb	797651428	767	130	89
sub-101/sub-101_ses-LE101-04_ecephys.nwb	303435264	755	128	87
sub-116/sub-116_ses-LE116-03_ecephys.nwb	396835742	774	130	87
sub-091/sub-091_ses-LE091-06_ecephys.nwb	948585116	942	143	100
sub-108/sub-108_ses-LE108-08_ecephys.nwb	733766528	887	138	91
sub-108/sub-108_ses-LE108-09_ecephys.nwb	575424510	753	130	87
sub-101/sub-101_ses-LE101-09_ecephys.nwb	367330972	801	138	91
sub-114/sub-114_ses-LE114-02_ecephys.nwb	270817948	789	139	91
sub-116/sub-116_ses-LE116-11_ecephys.nwb	326886504	813	125	86
sub-115/sub-115_ses-LE115-14_ecephys.nwb	139560332	683	137	87
sub-108/sub-108_ses-LE108-03_ecephys.nwb	636849658	763	132	87
sub-114/sub-114_ses-LE114-10_ecephys.nwb	655599530	761	131	87
sub-108/sub-108_ses-LE108-07_ecephys.nwb	810702472	752	129	88
sub-115/sub-115_ses-LE115-01_ecephys.nwb	552041586	666	126	88
sub-092/sub-092_ses-LE092-08_ecephys.nwb	988646940	683	130	89
sub-116/sub-116_ses-LE116-09_ecephys.nwb	342979778	836	131	87
sub-116/sub-116_ses-LE116-06_ecephys.nwb	530917232	771	134	88
sub-114/sub-114_ses-LE114-07_ecephys.nwb	801120194	763	129	91
sub-116/sub-116_ses-LE116-13_ecephys.nwb	569965316	817	127	85
sub-108/sub-108_ses-LE108-10_ecephys.nwb	529486290	749	133	88
sub-101/sub-101_ses-LE101-11_ecephys.nwb	325627334	845	133	89
sub-116/sub-116_ses-LE116-07_ecephys.nwb	732389588	742	129	87
sub-092/sub-092_ses-LE092-03_ecephys.nwb	819477370	795	135	92
sub-116/sub-116_ses-LE116-12_ecephys.nwb	773206640	865	129	89
sub-101/sub-101_ses-LE101-10_ecephys.nwb	325783134	876	135	92
