region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NH	26478630466	52645	6434	5477
GH-actions	4134874466	9878	1609	1634
USA/DC	416613356	87	87	0
CAN/ON	1626026730	261	261	0
AUS/NSW	542008910	87	87	0
USA/TX	542008910	87	87	0
USA	194994458	38	27	4
AWS/us-east-1	1134274704	287	235	24
CHN	902127556	199	137	16
VPN	3742491024	1350	676	108
USA/MA	670459374	119	0	103
USA/CA	1344688252	1265	353	265
AWS/ap-southeast-1	398600788	141	141	0
GCP/us-east1	1084017820	174	174	0
GCP/asia-southeast1	1626026730	261	261	0
GCP/us-west4	542008910	87	87	0
USA/NY	568744552	89	89	0
USA/WA	161895944	29	23	2
AWS/us-east-2	75068112	10	10	0
JPN/26	1653093494	665	320	70
USA/GA	1087113180	176	176	0
GCP/us-west1	542008910	87	87	0
GCP/us-central1	593392606	94	94	0
JPN/13	783548874	121	121	0
CHN/BJ	626894106	101	100	1
AWS/us-west-2	39595194	42	8	2
ESP/CT	2001710	1	1	0
OMN/MA	2001710	1	1	0
KEN/30	3209892	2	2	0
VEN/A	2001710	1	1	0
USA/IN	2001710	1	1	0
CHL/RM	4173738	5	5	0
MEX/CMX	168214592	627	100	59
EGY/GZ	3995988	1	1	0
VNM/HN	36672172	4	4	0
FRA/IDF	21665536	97	13	13
URY/MO	10249068	1	1	0
NGA/OY	917112	1	1	0
XK	6354276	1	1	0
BGD	10249068	1	1	0
CHN/SH	2357216	2	2	0
USA/AZ	2208732	24	2	1
VNM/DN	11552788	2	2	0
HND/CR	5591560	1	1	0
SGP	6379926	25	6	4
USA/MD	19185012	67	2	4
NLD/LI	23146448	2	2	0
USA/VA	101275182	7	7	0
ITA/25	304	38	0	1
USA/IL	3063024	12	2	2
CAN/BC	21751856	2	2	0
USA/MI	1215548	7	1	1
EST/37	607774	1	1	0
CHE/VD	1119774	6	1	1
BRA/RS	607774	1	1	0
BRA/PE	607774	1	1	0
ECU/G	607774	1	1	0
CHE/ZH	229376	14	0	1
VNM/HP	5069538	1	1	0
