week_start	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_image.nwb	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_image/05a6523d-1afe-47fa-836b-fd46c8cb8d48_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_image/36918b97-af90-4e7e-b47f-f1ad501f02fd_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_image/3eac8ec9-9d5c-4038-896d-ca6b630123e4_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_image/ae45157f-8742-4d26-891a-48f856f77406_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_image/ed2cb2b5-3456-443a-ad7a-54160131a3e1_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_image/f8c6490a-6a2e-4963-b08f-c62056d6b4b3_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-12-1_image.nwb	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-12-1_image/21266e1f-6e62-4777-977a-befc8a7377ec_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-12-1_image/21b52ce3-7a39-4ecc-8044-64b249c06f17_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-12-1_image/282cc8b9-d92a-45a2-81eb-b1ca02c1fff2_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-12-1_image/35b92997-50fb-485a-b55e-f8b6a5e47daa_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-12-1_image/58841b50-367f-40f9-8295-7a0811aa574b_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-12-1_image/b11bd63d-e457-40e9-a848-afacaaf8d12c_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-13-1_image.nwb	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-13-1_image/20cd058d-b378-48b2-bfed-2b07419d33c8_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-13-1_image/2999bed3-2ef0-4bb4-b245-580beccb5e0f_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-13-1_image/3cab6023-3419-4338-ac3b-2828a034da29_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-13-1_image/80b84e47-e4f3-42d1-8e50-0441b5c4aba3_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-13-1_image/970164af-0958-4374-8f4e-d0e1967effb9_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-13-1_image/a358670e-6cff-431f-a301-3611cd9a4950_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-14-1_image.nwb	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-14-1_image/723ddca5-fad3-42eb-910c-b20ef8325702_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-14-1_image/749ce073-11b7-4482-bd16-e24b38a2edd9_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-14-1_image/906ac335-8616-4235-9004-1893b70df3f9_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-14-1_image/a067a4ce-b726-4d9d-8bdb-2b9ea84677f6_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-14-1_image/c4b131f7-a6b1-4660-b5c7-28bd714b7f1e_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-14-1_image/ec4a3452-936e-4906-b6ef-8673c9ab44a4_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-15-1_image.nwb	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-15-1_image/36c2195b-3ec9-48b1-87b2-9336d9c54a18_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-15-1_image/530912a0-1978-4018-bcb2-fbc5f6cd0819_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-15-1_image/553a2171-d095-4e4a-9509-cffc4e0ec2d9_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-15-1_image/8361b6cd-f005-4d5d-a322-e86c67afdabc_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-15-1_image/9ab9e6d4-ea30-4cfe-9087-093b14818318_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-15-1_image/cface19f-db83-478d-8b76-c06280566e5e_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-16-1_image.nwb	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-16-1_image/760e88d4-c059-4ab3-9e29-1cd7a0a3c633_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-16-1_image/d5145d9a-d66d-4969-b7e0-27de60208ea8_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-16-1_image/dec59398-69ed-4d6c-96e3-1d6282f9725f_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-16-1_image/e7c1d648-3358-46c0-b758-cc1f4b4dc4bc_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-16-1_image/f786f0bb-d25a-4ead-921f-c3ee3e646df4_external_file_0.mp4	sub-Neuropixels1-Rat1/sub-Neuropixels1-Rat1_ses-2026-02-16-1_image/ff2a9a80-d0ce-42e5-abb1-6a511c90fc52_external_file_0.mp4
2026-03-30	110479800	240741736	436472874	398967130	206305602	379782738	344955804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-06	230814274	184584700	261144177	243210155	98927535	226117293	195372948	628178080	491415222	269645388	499452687	596431890	239345028	529877031	680028578	809024664	693136032	264529911	551699646	513471561	425646376	401655384	195523227	458648616	223383615	416116167	519000033	434927313	406307435	553098525	476479389	247463277	506637294	275674566	440263149	315174818	486858168	256301541	228547128	419375145	465062799	534291963
2026-04-13	43482226	0	0	0	0	0	0	434904266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-04-20	43687116	0	0	13822188	9564168	0	0	27070248	27447852	0	0	29675124	99927600	0	24246712	0	14804808	0	0	0	0	41921240	7271388	0	0	27185820	18014700	27447852	47399832	0	0	0	19455876	0	0	70479780	15197856	0	0	0	0	0
2026-04-27	27184995	0	0	0	0	0	0	90299518	0	0	0	0	0	0	91862461	0	0	0	0	0	0	90457232	0	0	0	0	0	0	90160389	0	0	0	0	0	0	90308927	0	0	0	0	0	0
2026-05-11	27184995	0	0	0	0	0	0	54568164	0	0	0	0	79213940	0	0	0	0	0	0	168515031	106411594	36617560	0	0	0	0	0	0	126481106	0	0	0	0	0	0	0	0	84953455	0	0	0	0
2026-05-18	73822156	29916927	0	2161764	982620	0	30088813	95958034	4978608	0	0	5306148	0	0	15419208	0	8516040	0	0	0	0	5658516	5764704	0	0	144601109	181319527	146307767	2055576	0	0	0	174643802	0	0	46656099	180584624	0	0	0	0	0
2026-05-25	5461487	0	0	0	0	0	0	35449508	0	0	0	0	0	0	37244636	0	0	0	0	0	0	5646084	0	0	0	0	0	0	5517523	0	0	0	0	0	0	5917969	0	0	0	0	0	0
2026-06-01	51815622	0	0	0	0	0	0	30964080	0	0	0	0	0	0	94120901	0	0	0	0	0	0	81442132	0	0	0	0	0	0	30759280	0	0	0	0	0	0	43148568	0	0	0	0	0	0
2026-06-08	6026892	0	0	0	0	0	0	1163525792	18144448	991549578	43538067	0	32436191	8963463	29830968	0	0	0	0	0	0	12667872	0	0	0	0	0	0	35923212	0	0	0	0	0	0	2383116	47820840	0	0	0	0	0
2026-06-15	1105399	0	0	0	0	0	0	929125334	0	284833862	0	0	0	0	32711453	0	0	0	0	0	0	1158804	0	0	0	0	0	0	1027788	0	0	0	0	0	0	962280	0	0	0	0	0	0
2026-06-22	55719469	0	0	2161764	3537432	0	0	224540742	2620320	4716576	0	2816844	0	0	32711453	0	9760692	0	0	0	0	962280	2423796	0	0	6092244	3144384	2292780	962280	0	0	0	3144384	0	0	1093296	3078876	0	0	0	0	0
2026-06-29	51338670	116735174	214240449	195651347	98927535	185764365	168514668	0	150595186	89881796	165982001	196299490	79213940	173852505	31552649	200159910	230499444	85381629	183397654	168515031	106411594	0	64672181	152424316	71666197	271908106	346000022	284361526	32979809	183842111	158280563	81963695	337758196	89140186	144286915	0	323436640	84953455	73387368	136974871	152247761	177573257
2026-07-06	69618886	0	0	2685828	2358288	0	0	425021832	2292780	90798908	0	2816844	0	0	324008570	0	3733956	0	0	0	0	358988810	6157752	0	0	2751336	2554812	2489304	70151036	0	0	0	2030748	0	0	103353167	2227272	0	0	0	0	0
2026-07-13	56392501	27927978	17277268	0	0	0	17286595	91261798	0	0	0	0	0	0	92824741	0	0	0	0	0	0	91419512	0	0	0	0	0	0	91384701	0	0	0	0	0	0	91336715	0	0	0	0	16053746	0
2026-07-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4416649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2026-07-27	974383	0	0	0	0	0	0	1027788	0	0	0	0	0	0	962280	0	0	0	0	0	0	1158804	0	0	0	0	0	0	1158804	0	0	0	0	0	0	77493220	0	0	0	0	0	0
2026-08-03	0	0	0	0	0	0	0	20193626	0	0	0	0	0	0	0	0	0	0	0	0	0	7908668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
