week_start	sub-353936/sub-353936_ses-20170519_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170608_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170609_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170610_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170611_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170612_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170617_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170618_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170619_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170621_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170622_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170623_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170624_behavior+ecephys+ogen.nwb	sub-353936/sub-353936_ses-20170625_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170612_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170614_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170615_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170616_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170617_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170618_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170619_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170621_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170622_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170623_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170624_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170625_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170626_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170628_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170629_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170630_behavior+ecephys+ogen.nwb	sub-353938/sub-353938_ses-20170701_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170112_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170113_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170114_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170115_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170116_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170119_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170120_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170122_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170123_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170124_behavior+ecephys+ogen.nwb	sub-353939/sub-353939_ses-20170125_behavior+ecephys+ogen.nwb	sub-359855/sub-359855_ses-20161220_behavior+ecephys+ogen.nwb	sub-359855/sub-359855_ses-20161221_behavior+ecephys+ogen.nwb	sub-359855/sub-359855_ses-20161222_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170218_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170219_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170220_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170221_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170222_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170223_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170224_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170227_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170228_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170301_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170302_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170303_behavior+ecephys+ogen.nwb	sub-359856/sub-359856_ses-20170309_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171017_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171019_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171020_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171021_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171024_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171025_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171027_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171030_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171031_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171101_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171102_behavior+ecephys+ogen.nwb	sub-365938/sub-365938_ses-20171103_behavior+ecephys+ogen.nwb	sub-365939/sub-365939_ses-20171017_behavior+ecephys+ogen.nwb	sub-365939/sub-365939_ses-20171018_behavior+ecephys+ogen.nwb	sub-365939/sub-365939_ses-20171019_behavior+ecephys+ogen.nwb	sub-365939/sub-365939_ses-20171020_behavior+ecephys+ogen.nwb	sub-365939/sub-365939_ses-20171021_behavior+ecephys+ogen.nwb	sub-365939/sub-365939_ses-20171102_behavior+ecephys+ogen.nwb	sub-365939/sub-365939_ses-20171103_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170708_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170709_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170710_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170711_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170712_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170713_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170714_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170715_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170717_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170718_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170719_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170720_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170724_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170725_behavior+ecephys+ogen.nwb	sub-365942/sub-365942_ses-20170726_behavior+ecephys+ogen.nwb	sub-365943/sub-365943_ses-20170708_behavior+ecephys+ogen.nwb	sub-365943/sub-365943_ses-20170711_behavior+ecephys+ogen.nwb	sub-365943/sub-365943_ses-20170712_behavior+ecephys+ogen.nwb	sub-365943/sub-365943_ses-20170713_behavior+ecephys+ogen.nwb	sub-365943/sub-365943_ses-20170719_behavior+ecephys+ogen.nwb	sub-365943/sub-365943_ses-20170720_behavior+ecephys+ogen.nwb
2021-04-19	14170028	8388608	13006744	16777216	7574336	14018144	19191828	8591932	16777216	15179828	13020544	18372604	7640664	0	9310154	4886646	0	11546464	7762632	12918587	7410982	0	1815784	8002968	11115120	11574692	0	0	16777216	14435412	0	0	4145888	15055580	11546992	10832980	8388608	6690460	4827428	3287980	24746456	2932196	0	2181884	6156388	0	15581024	10676668	0	6659080	0	0	9893204	15692488	0	11193860	0	0	8519414	0	706596	6673660	8388608	8388608	5359748	1955568	5438532	6476619	5414812	6199300	2793680	6832219	0	0	3648856	3478388	0	0	8388608	10062860	10395712	8388608	20864446	16777216	8388334	6053292	2475610	8388608	1976904	8388608	3204320	1831478	5742612	0	3399332	1089268	8388608	5153960
2021-04-26	14170028	21673120	0	0	7574336	0	35969044	8591932	0	0	13020544	0	0	0	9310154	13275254	0	0	7762632	12918587	0	6006748	1815784	0	0	0	8931068	0	0	0	3096356	7614808	4145888	0	0	10832980	11268684	0	4827428	11676588	31548297	2932196	10132428	2181884	6156388	0	15581024	0	0	6659080	0	0	0	25580724	5252620	0	5003212	4988784	0	12537398	0	6673660	14745146	0	5359748	0	5438532	14865227	5414812	0	0	0	7067297	5800192	0	6956776	4569356	0	12402586	18451468	10395712	0	0	18042150	16776942	14441900	14148767	0	0	0	6408640	0	11485224	3063232	3399332	1089268	0	5153960
2021-05-03	0	0	0	8261849	7574336	0	0	0	0	0	6801841	0	0	0	0	0	0	0	0	0	0	0	0	0	6934569	9655493	0	0	0	4114568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9025504	0	0	6511672	5972760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2920016	0	0	0	0	0	0	0	0	10783681	0
2021-05-10	14170028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-05-17	42510084	43346240	13006744	84945616	22723008	28036288	71938088	25775796	66428898	45539484	13020544	36745208	22921992	13597380	27930462	26550508	8958920	46185856	7762632	38755761	7410982	18020244	3631568	32011872	22230240	46298768	17862136	14870944	58118880	28870824	6192712	7614808	16583552	45166740	34640976	32498940	33806052	20071380	14482284	11676588	49492912	5864392	20264856	2181884	24625552	25744776	31162048	32030004	17804016	19977240	4256508	19535016	36563624	62769952	10505240	11193860	10006424	9977568	25558242	25074796	27285612	13347320	44235438	45494343	10719496	20688352	16315596	44595681	21659248	18597900	22364576	30441654	22553112	23200768	10946568	10435164	9138712	15115296	37207758	55354404	10395712	12048891	29253054	54126450	50330826	43325700	21728436	28255950	3953808	19782320	9612960	30660258	11485224	6126464	3399332	2178536	28210360	10307920
2021-05-31	0	0	0	21236404	7574336	0	0	8591932	0	15179828	0	18372604	0	0	0	13275254	0	0	0	12918587	7410982	0	1815784	0	0	0	0	7435472	19372960	0	0	7614808	0	0	0	0	11268684	0	0	11676588	0	0	0	0	6156388	0	0	0	5934672	6659080	4256508	0	18281812	0	0	0	0	4988784	0	0	9095204	0	0	15164781	0	0	0	0	5414812	6199300	11182288	0	7517704	5800192	3648856	0	0	5038432	12402586	18451468	0	12048891	29253054	0	0	0	0	9418650	1976904	0	3204320	0	5742612	3063232	0	1089268	14105180	0
2021-06-07	28340056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-06-14	28340056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15229616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-06-28	14170028	21673120	13006744	0	7574336	14018144	35969044	8591932	22142966	15179828	13020544	0	7640664	4532460	9310154	13275254	4479460	11546464	7762632	12918587	7410982	6006748	1815784	8002968	11115120	11574692	8931068	0	19372960	14435412	3096356	7614808	4145888	0	11546992	10832980	11268684	6690460	4827428	0	24746456	0	10132428	2181884	6156388	12872388	15581024	10676668	5934672	0	4256508	6511672	18281812	15692488	5252620	11193860	0	4988784	8519414	12537398	0	6673660	14745146	15164781	0	10344176	5438532	14865227	5414812	0	11182288	15220827	7517704	5800192	3648856	3478388	0	5038432	12402586	18451468	10395712	12048891	29253054	0	16776942	14441900	10864218	9418650	1976904	9891160	0	10220086	5742612	0	0	1089268	0	5153960
2021-09-27	14170028	43346240	13006744	42472808	15148672	14018144	35969044	8591932	44285932	30359656	13020544	18372604	7640664	9064920	9310154	13275254	4479460	23092928	15525264	12918587	14821964	6006748	1815784	8002968	22230240	11574692	17862136	7435472	0	28870824	6192712	15229616	4145888	15055580	23093984	10832980	11268684	13380920	4827428	23353176	49492912	2932196	10132428	4363768	6156388	25744776	0	21353336	5934672	6659080	4256508	6511672	18281812	31384976	5252620	11193860	5003212	4988784	8519414	25074796	9095204	13347320	0	30329562	10719496	10344176	10877064	14865227	10829624	12398600	11182288	0	7517704	11600384	7297712	3478388	9138712	10076864	12402586	36902936	10395712	12048891	29253054	36084300	16776942	28883800	10864218	18837300	3953808	19782320	6408640	10220086	11485224	3063232	3399332	2178536	28210360	10307920
2021-10-18	14170028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-11-01	14170028	0	0	0	7574336	14018144	35969044	0	0	0	0	0	7640664	0	0	13275254	4479460	0	0	12918587	7410982	0	1815784	0	11115120	0	8931068	0	19372960	0	0	7614808	0	15055580	11546992	0	0	6690460	0	0	0	0	10132428	2181884	0	12872388	15581024	0	5934672	6659080	0	0	0	15692488	0	11193860	5003212	0	0	12537398	0	6673660	0	15164781	5359748	10344176	0	0	0	0	11182288	0	0	5800192	0	3478388	4569356	5038432	0	0	10395712	12048891	29253054	0	16776942	14441900	0	0	1976904	9891160	3204320	10220086	0	3063232	0	0	0	5153960
