region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
USA/NY	1651309372324	11821	301	34
USA	771178379645	85184	226	54
AWS/us-east-2	1629927859426	15242824	6	569
NLD	2466036519641	40635	245	100
AWS/us-east-1	1521001499072	191939	375	1572
VPN	3339083371554	15207	1626	535
USA/MA	5177634023736	47365	387	325
AWS/us-west-2	23947696761943	251000	3096	64
FRA/PAC	25680700243	204611	8	99
USA/NH	251274431094	930679	19458	17511
FRA/IDF	200644761454	34192	64	40
CHN	5277951825922	205245	451	239
GitHub	155721658462	273396	2713	2632
USA/NV	3142562353982	111792	172	341
ESP/CT	11240734720	1340	0	1
USA/NJ	9068586870	143200	1	86
HKG	67614187304	7003	19	4
USA/WA	1533620759508	365096	187	227
CAN/QC	324003737286	3327	25	193
USA/VT	11701902385	43055	925	703
KOR/30	4786278776952	8278	674	301
USA/CA	1393526339695	494	206	56
DEU/BW	5811540975	9550	350	170
USA/VA	1408737930051	79719	192	52
USA/PA	1413819467991	147776	252	99
KOR/11	1441309112149	188	188	0
USA/NM	1380009658897	171	171	0
USA/NC	1479314379958	187	185	1
AWS/ap-southeast-1	2305417340	363	363	0
TWN/TPE	1395826512429	177	171	6
GBR/ENG	29158289401	4258	251	114
USA/FL	44994175507	8421	77	81
VNM/DN	13339164	2	2	0
CMR/LT	11480972	1	1	0
COL/CAQ	1327280	1	1	0
MAR/07	4844572	3	3	0
GCP/us-east4	32906221324	163179	169	169
GCP/us-east1	44339311157	216784	819	462
GCP/asia-east1	27467696366	131208	337	215
GCP/us-west3	9536211465	44397	274	274
GCP/us-west4	24942533476	123963	113	113
GCP/us-central1	2493751725	7026	294	292
FRA	105314788640	13	13	0
USA/IL	2774972696	144	91	2
ZAF/KZN	118408236	3	3	0
KOR/47	12397703298	1457	41	39
BRA/PR	9422860	3	3	0
CHN/JS	2389104	2	2	0
BRA/PI	2322740	1	1	0
MEX/JAL	1460008	1	1	0
ARG/B	8229136	6	6	0
HUN/BU	2738083978	34520	0	3
VNM/SG	1915700004	24	24	0
VNM/54	8162772	1	1	0
CHE/VD	3653908314	1254	77	50
VNM/56	1327280	1	1	0
ZAF/GP	18183736	7	7	0
USA/MD	64727289527	174	34	18
MEX/CMX	584347455	2621	112	61
BRA/DF	7233676	1	1	0
JPN/28	15687766968	47	5	1
AUS/NSW	8295500	1	1	0
VNM/13	2057284	2	2	0
IDN/JB	3450928	2	2	0
ARG/A	862732	1	1	0
IND/WB	1128188	1	1	0
SAU/01	8096408	3	3	0
ISR/TA	9556753424	102	7	3
PAK/PB	18117372	4	4	0
TWN/ILA	67384792	256	1	12
CHE/ZH	252884541	3484	7	4
DOM/01	16591000	1	1	0
BRA/SC	5110028	2	2	0
IND/UP	11879156	1	1	0
SGP	623343204	7	7	0
VNM/HN	962627796	16	16	0
ARE/DU	2123648	2	2	0
BRA/PE	20041928	4	4	0
USA/GA	330089886	6080	0	2
FRA/OCC	6277704207	1	1	0
VEN/N	3185472	2	2	0
CHL/RM	18449192	3	3	0
PHL/01	5043664	1	1	0
PER/ANC	13206436	1	1	0
RWA/01	1061824	1	1	0
USA/LA	1	1	0	1
FRA/HDF	9888236	1	1	0
BRA/MS	2853652	2	2	0
DEU/BY	15769018680	48	10	3
BGD	18250100	5	5	0
MEX/ROO	69044160	8	1	1
USA/TN	10551876	1	1	0
NGA/RI	1725464	2	2	0
TUR/06	25385665319	50	4	2
HUN/CS	3627469468	6144	1	2
MDA	33202418101	470	0	3
NOR/11	4711844	1	1	0
JPN	4778507109	32	6	1
BRA/MG	6968220	3	3	0
USA/DC	826751680	32	2	4
DEU/BE	315748874	94	6	2
THA/30	21501936	1	1	0
IRQ/KI	6835492	1	1	0
TUR/34	929096	1	1	0
BRA/RJ	13737348	3	3	0
ECU/P	78390744	1	1	0
USA/TX	44664222751	10	9	1
GBR	33049272	1	1	0
ARG/M	4711844	2	2	0
