region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
AWS/us-east-1	19817672322	2406	46	22
USA/IL	58879151	21	10	2
VPN	11849594761	92	31	18
CHN	11734936435	256	43	7
USA/MA	21288559346	584	0	51
AWS/ap-southeast-1	40025388	22	22	0
USA/NC	3736021624	20	14	6
GitHub	255759836	944	91	79
MEX/CMX	41316299	161	38	27
DEU/NW	3460983	11	3	3
USA/MD	8871184	40	8	4
KOR/27	1458925868	74	2	14
USA/CA	3331988223	14	5	3
FRA/IDF	3647688	15	3	3
USA/VA	15328872	1	1	0
CHE/VD	1845680	6	2	1
GCP/us-central1	718040	1	1	0
ARE/DU	1436080	2	1	1
KOR/41	1052634724	2	2	0
