region	bytes_sent	number_of_requests	number_of_downloads	number_of_views
GitHub	26721697403	403236	1293	978
USA/NH	90373544858	417242	4106	3708
USA/CA	1100920415	151	49	9
AWS/us-east-1	2697567582	306	164	36
VPN	4254521098	410	242	17
USA/NV	2288120486	119	67	32
CHN	3040815053	682	36	409
HKG/KKC	137347237	18	0	5
USA/VT	4462182681	20534	203	125
GCP/us-central1	178334674711	43289	53	36
USA	550693281	105	41	10
AWS/ap-southeast-1	556130320	81	81	0
HUN/BA	42229105	6	2	2
USA/NM	1130554300	40	40	0
CAN/ON	2146469602	79	73	1
USA/VA	2749257292	763	9	3
NLD	1821948564	74	64	9
AWS/us-east-2	743498885	23896	8	16
USA/MA	13381752486	3474	7	76
AUS/SA	4198949336	144	144	0
USA/WA	1075527421	38	38	0
USA/WI	1070081947	37	37	0
CAN	1049737334	36	36	0
HKG	4579116	2	2	0
DEU/BW	2099474668	72	72	0
USA/IL	380347927	109	22	2
CHL/RM	1194552	1	1	0
USA/GA	642411626	22	22	0
MEX/CMX	269456910	1139	114	83
JOR	1327280	1	1	0
GBR/ENG	568408067	37	37	0
PRT/11	112123263	8	8	0
USA/MD	67255669	130	11	11
CAN/QC	523403484	62	5	10
IND/MH	32496966	2	2	0
SGP	66055756	5	5	0
SAU/02	1194552	1	1	0
BRA/MG	2986380	2	2	0
USA/TX	73796768	2	2	0
BGD/C	929096	1	1	0
JPN/13	16921330	66	2	1
JPN	14996774	65	1	1
USA/RI	38770138	8	0	1
NOR/50	424287946	89	0	9
CHE/VD	13642454	42	4	3
UKR/46	1393644	1	1	0
FRA/IDF	4616480	17	4	3
USA/NY	41929564	2	2	0
BRA/SP	2256376	1	1	0
TWN/TAO	1061824	1	1	0
UKR/43	1128188	1	1	0
ARG/B	1128188	1	1	0
PHL/00	929096	1	1	0
MEX/NAY	1393644	1	1	0
SYC	2521832	1	1	0
VNM/HN	929096	1	1	0
ARG/S	14732808	1	1	0
VNM/SG	53880566	5	5	0
USA/FL	1393644	1	1	0
EST/37	13180927	1	1	0
CHN/SH	159940627	52	0	1
USA/PA	31174109	109	1	1
VNM/52	862732	1	1	0
DOM/32	1061824	1	1	0
DOM/01	3915476	2	2	0
PAK/IS	862732	1	1	0
USA/NC	1061824	1	1	0
PRY/10	3716384	1	1	0
PAK/SD	862732	1	1	0
PHL/40	1061824	1	1	0
RUS/TOM	1327280	1	1	0
PHL/10	1061824	1	1	0
PAK/PB	929096	1	1	0
ESP/VC	1128188	1	1	0
IRQ	1128188	1	1	0
PER/PUN	25169513	1	1	0
SYR	929096	1	1	0
MEX/PUE	1128188	1	1	0
